```csv
sku,product_type,unit_price,supplier_name,location,stock,lead_time,units_per_order,shipping_company,average_shipping_cost,manufacturing_days,manufacturing_cost,last_quality_inspection,defective_percentage,main_transport_mode,main_route,total_cost,unit_id,date_manufactured,date_received,storage_temperature,humidity,batch_number,supplier_rating,shipping_distance,shipping_weight,packaging_cost,insurance_cost,customs_duty,warehouse_location,demand_forecast,reorder_point,safety_stock,expiration_date,production_line,worker_id,material_cost,labor_cost,energy_cost,machine_id,machine_maintenance_cost,inspection_date,inspection_result,inspector_id,order_quantity,discount_applied,customer_segment,payment_method
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,1,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,2,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,3,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,4,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,5,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,6,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,7,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,8,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,9,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,10,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
